 number name
1547 1.10.8.380 "Uncharacterised protein PF01937, DUF89, domain 1 "
1548 1.10.8.390 "Internalin N-terminal Cap domain-like "
1549 1.10.8.400 "Enoyl acyl carrier protein reductase "
1550 1.10.8.420 "RecR Domain 1 "
1551 1.10.8.430 "Helical domain of apoptotic protease-activating factors "
1552 1.10.8.440 "Vesicular stomatitis virus phosphoprotein C-terminal domain "
1553 1.10.8.460 "ppGaNTase-T1 linker domain-like "
1554 1.10.8.470 
1555 1.10.8.480 
1556 1.10.8.490 "Ced-4 linker helical domain-like "
1557 1.10.8.500 "HAMP domain in histidine kinase "
1558 1.10.8.520 "ExsD N-terminal domain-like "
1559 1.10.8.530 "DNA polymerase alpha-primase, subunit B, N-terminal domain "
1560 1.10.8.540 "FHIPEP family, domain 3 "
1561 1.10.8.550 "Proto-chlorophyllide reductase 57 kD subunit B "
1562 1.10.8.560 "Antirestriction protein ArdA, domain 2 "
1563 1.10.8.570 "Hypothetical protein YfmB "
1564 1.10.8.590 
1565 1.10.8.600 "Phage phi29 replication organiser protein p16.7-like "
1566 1.10.8.610 "SirC, precorrin-2 dehydrogenase, C-terminal helical domain-like "
1567 1.10.8.620 "ORF12 helical bundle domain-like "
1568 1.10.8.640 "Cytochrome C biogenesis protein "
1569 1.10.8.650 "Uncharacterised protein PF13642 yp_926445, C-terminal domain "
1570 1.10.8.660 
1571 1.10.8.680 "Ypt/Rab-GAP domain of gyp1p, domain 2 "
1572 1.10.8.700 "Bacteriophage clamp loader A subunit, A domain "
1573 1.10.8.710 
1574 1.10.8.720 "Region D6 of dynein motor "
1575 1.10.8.730 
1576 1.10.8.740 
1577 1.10.8.750 "Phosphoribosylformylglycinamidine synthase, linker domain "
1578 1.10.8.760 "Haem-binding uptake, Tiki superfamily, ChaN, domain 2 "
1579 1.10.8.770 
1580 1.10.8.790 "RNA-dependent RNA polymerase, slab domain, helical subdomain-like "
1581 1.10.8.800 "D-family DNA polymerase, DP1 subunit N-terminal domain "
1582 1.10.8.810 "Daxx helical bundle domain "
1583 1.10.8.840 "Ribosome-associated complex head domain "
1584 1.10.8.850 "Histone-lysine N methyltransferase , C-terminal domain-like "
1585 1.10.8.860 "Enterocin 7a-like "
1586 1.10.8.870 "Alpha-glycerophosphate oxidase, cap domain "
1587 1.10.8.880 "Birnavirus VP3 protein, domain 2 "
1588 1.10.8.890 
1589 1.10.8.900 
1590 1.10.8.930 "Protein of unknown function DUF1465 "
1591 1.10.8.940 "Uncharacterised protein, phage p2 ORF12 "
1592 1.10.8.950 "Filoviridae VP35, C-terminal inhibitory domain, helical subdomain "
1593 1.10.8.960 
1594 1.10.8.970 "Flavivirus envelope glycoprotein M-like "
1595 1.10.8.990 
1596 1.10.8.1000 "Ornithine 4,5 aminomutase S component, alpha subunit-like "
1597 1.10.8.1010 
1598 1.10.8.1020 "RecQ-mediated genome instability protein 1, N-terminal domain "
1599 1.10.8.1040 
1600 1.10.8.1050 "Antitoxin VbhA-like "
1601 1.10.8.1060 "Corynebacterium glutamicum thioredoxin-dependent arsenate reductase, N-terminal domain "
1602 1.10.8.1070 
1603 1.10.8.1080 
1604 1.10.8.1120 "Histone RNA hairpin-binding protein RNA-binding domain "
1605 1.10.8.1130 "Bacterial toxin RNase RnlA/LsoA, C-terminal Dmd-binding domain "
1606 1.10.8.1160 
1607 1.10.8.1170 
1608 1.10.8.1180 
1609 1.10.8.1190 
1610 1.10.8.1210 
1611 1.10.8.1220 
1612 1.10.8.1240 
1613 1.10.8.1290 "Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1, domain 1 "
1614 1.10.8.1310 
1615 1.10.8.1320 
1616 1.10.8.1330 "Intein homing endonuclease, domain III "
1617 1.10.10.10 "Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain "
1618 1.10.10.41 "Yeast DNA topoisomerase - domain 1 "
1619 1.10.10.60 "Homeodomain-like "
1620 1.10.10.140 "Cytochrome c oxidase, subunit VIb "
1621 1.10.10.160 
1622 1.10.10.180 
1623 1.10.10.190 
1624 1.10.10.200 
1625 1.10.10.250 "Ribosomal protein L11, C-terminal domain "
1626 1.10.10.350 
1627 1.10.10.370 "DsrC-like protein, C-terminal domain "
1628 1.10.10.390 
1629 1.10.10.400 "Polyribonucleotide nucleotidyltransferase, RNA-binding domain "
1630 1.10.10.410 
1631 1.10.10.430 "Phosphatase 2C, C-terminal domain suprefamily "
1632 1.10.10.440 "FF domain "
1633 1.10.10.450 "TraM protein, DNA-binding "
1634 1.10.10.460 "Ribonuclease hii. Domain 2 "
1635 1.10.10.470 "Maltooligosyl trehalose synthase; domain 4 "
1636 1.10.10.480 "Phosphofructokinase; domain 3 "
1637 1.10.10.490 "Beta-catenin-interacting ICAT "
1638 1.10.10.500 "Homeo-prospero domain "
1639 1.10.10.510 "Zinc finger, large T-antigen D1 domain "
1640 1.10.10.520 "Ubiquitin activating enzymes (Uba3). Chain B, domain 2 "
1641 1.10.10.530 "mam-mhc complex, Chain D, Domain 2 "
1642 1.10.10.540 "XPC-binding domain "
1643 1.10.10.570 """Winged helix"" DNA-binding domain. Chain C. Domain 1 "
1644 1.10.10.580 "Structural maintenance of chromosome 1. Chain E "
1645 1.10.10.600 "IscX-like "
1646 1.10.10.610 "YehU-like "
1647 1.10.10.620 "ribosome modulation factor like domain "
1648 1.10.10.630 "DnaD domain-like "
1649 1.10.10.640 "phospholipid-binding protein "
1650 1.10.10.650 "RuvA domain 2-like "
1651 1.10.10.660 "conserved protein of unknown function from Enterococcus faecalis V583 "
1652 1.10.10.670 "photosystem ii from thermosynechococcus elongatus "
1653 1.10.10.680 "Hypothetical protein VC1899 (Restriction endonuclease-like) "
1654 1.10.10.690 "YidB-like "
1655 1.10.10.710 "PSPTO_1197 like "
1656 1.10.10.720 "leucyl-tRNA synthetase "
1657 1.10.10.730 "KorB DNA-binding domain "
1658 1.10.10.740 "Crisp domain "
1659 1.10.10.750 "Ypt/Rab-GAP domain of gyp1p, domain 1 "
1660 1.10.10.760 "E-set domains of sugar-utilizing enzymes "
1661 1.10.10.770 
1662 1.10.10.790 "Surp module "
1663 1.10.10.800 
1664 1.10.10.820 
1665 1.10.10.830 "Ile-tRNA synthetase CP2 domain-like "
1666 1.10.10.840 
1667 1.10.10.850 
1668 1.10.10.880 "Anti sigma-E protein RseA, N-terminal domain "
1669 1.10.10.900 "SBDS protein C-terminal domain, subdomain 1 "
1670 1.10.10.910 "ATP synthase, F1 beta subunit "
1671 1.10.10.920 
1672 1.10.10.930 
1673 1.10.10.940 
1674 1.10.10.950 
1675 1.10.10.970 "RNA 2'-phosphotransferase, Tpt1/KptA family, N-terminal domain "
1676 1.10.10.980 "CST, Suppressor of Cdc13 homolog, complex subunit STN1, N-terminal domain "
1677 1.10.10.990 
1678 1.10.10.1000 "Type III secretion system virulence factor YopR, core domain "
1679 1.10.10.1010 "Intein homing endonuclease, domain IV "
1680 1.10.10.1020 "RecBCD complex, subunit RecD, N-terminal domain "
1681 1.10.10.1030 "IrrE, HTH domain "
1682 1.10.10.1050 "Dcp2, box A domain "
1683 1.10.10.1060 "Catalase HPII, helical domain "
1684 1.10.10.1070 "Zinc finger, BED domain-containing "
1685 1.10.10.1080 "Stn1, N-terminal wHTH domain "
1686 1.10.10.1100 "BFD-like [2Fe-2S]-binding domain "
1687 1.10.10.1110 "Methyltransferase PG1098, N-terminal domain "
1688 1.10.10.1120 "Lysin B, C-terminal linker domain "
1689 1.10.10.1130 "Uncharacterised protein PF10982, DUF2789 "
1690 1.10.10.1140 "Glutamine-dependent NAD+ synthetase, C-terminal domain "
1691 1.10.10.1150 "Coenzyme PQQ synthesis protein D (PqqD) "
1692 1.10.10.1180 "MAN1, winged-helix domain "
1693 1.10.10.1190 "Antirestriction protein ArdA, domain 3 "
1694 1.10.10.1200 "MAGE homology domain, winged helix WH1 motif "
1695 1.10.10.1210 "MAGE homology domain, winged helix WH2 motif "
1696 1.10.10.1230 "Penicillin-binding protein, N-terminal non-catalytic domain, head sub-domain "
1697 1.10.10.1250 "RNA polymerase, subunit delta, N-terminal domain "
1698 1.10.10.1260 "Envelope glycoprotein gp160, DUF2291, helical domain "
1699 1.10.10.1270 "Sbi, C3 binding domain IV "
1700 1.10.10.1280 "Alpha-helical porin B/porin C "
1701 1.10.10.1290 "Transcriptional regulator DELLA, N-terminal domain "
1702 1.10.10.1310 "ToxT, HTH1 motif "
1703 1.10.10.1320 "Anti-sigma factor, zinc-finger domain "
1704 1.10.10.1330 "RNA polymerase sigma-54 factor, core-binding domain "
1705 1.10.10.1340 "Mediator of RNA polymerase II, submodule Med31 (Soh1) "
1706 1.10.10.1350 "Spidroin domain, C-terminal domain "
1707 1.10.10.1360 "tRNA (Ile)-lysidine synthase "
1708 1.10.10.1390 "ATP-dependent DNA helicase RecQ "
1709 1.10.10.1400 "Terminase, small subunit, N-terminal DNA-binding domain, HTH motif "
1710 1.10.10.1410 
1711 1.10.10.1420 "DNA replication factor Cdt1, C-terminal WH domain "
1712 1.10.10.1440 "PHAX RNA-binding domain "
1713 1.10.10.1450 
1714 1.10.10.1460 
1715 1.10.10.1470 "F-112 protein-like "
1716 1.10.10.1480 "Plasmid replication protein "
1717 1.10.10.1490 
1718 1.10.10.1500 "JmjC domain-containing ribosomal oxygenase (ROX), dimer domain "
1719 1.10.10.1510 
1720 1.10.10.1530 
1721 1.10.10.1540 "Costar domain "
1722 1.10.10.1550 "ROS/MUCR transcriptional regulator protein "
1723 1.10.10.1580 "Interferon regulatory factor 2-binding protein "
1724 1.10.10.1590 "NADH-quinone oxidoreductase subunit E "
1725 1.10.10.1600 "Bacterial DNA polymerase III alpha subunit, thumb domain "
1726 1.10.10.1620 
1727 1.10.10.1630 "Sys-1 C-terminal domain-like "
1728 1.10.10.1650 
1729 1.10.10.1660 "Nicotine adenine dinucleotide glycohydrolase, helical linker domain "
1730 1.10.10.1670 "HetR, flap domain "
1731 1.10.10.1680 "HetR, N-terminal DNA-binding domain "
1732 1.10.10.1690 "Uncharacterised CRISPR-associated protein family, UPF0236 "
1733 1.10.10.1700 "Histone-lysine N-methyltransferase "
1734 1.10.10.1710 "Deoxyribodipyrimidine photolyase-related "
1735 1.10.10.1720 "CRISPR-Cas system, Cmr2 subunit, D2 domain, helical bundle "
1736 1.10.10.1730 "Folliculin "
1737 1.10.10.1740 "Transmembrane protein 14-like "
1738 1.10.10.1760 "60S ribosomal protein L36 "
1739 1.10.10.1770 "Gun4-like "
1740 1.10.10.1780 
1741 1.10.10.1790 
1742 1.10.10.1800 "tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG/GidA "
1743 1.10.10.1810 "RNA ligase "
1744 1.10.10.1820 "BsuBI/PstI restriction endonuclease-like "
1745 1.10.10.1830 "Non-ribosomal peptide synthase, adenylation domain "
1746 1.10.10.1840 
1747 1.10.10.1850 "Sporulation protein-like "
1748 1.10.10.1870 "ShTK domain-like "
1749 1.10.10.1890 "Ska1 microtubule binding domain-like "
1750 1.10.10.1900 "Knl-2 Myb-like DNA-binding domain-like "
1751 1.10.10.1920 
1752 1.10.10.1930 
1753 1.10.10.1940 
1754 1.10.10.1950 
1755 1.10.10.1970 "TERT catalytic subunit-like "
1756 1.10.10.1990 "Viral RNA-directed RNA polymerase, 4-helical domain "
1757 1.10.10.2010 
1758 1.10.10.2020 "Host-nuclease inhibitor protein Gam "
1759 1.10.10.2030 "DNA/RNA-binding protein Kin17, conserved domain "
1760 1.10.10.2040 
1761 1.10.10.2050 
1762 1.10.10.2060 
1763 1.10.10.2080 
1764 1.10.10.2090 
1765 1.10.10.2100 
1766 1.10.10.2110 
1767 1.10.10.2120 
1768 1.10.10.2130 "DEAH helicase family, winged-helix domain "
1769 1.10.10.2150 "Ribosomal RNA-processing protein 8, N-terminal domain "
1770 1.10.10.2160 
1771 1.10.10.2170 
1772 1.10.10.2200 
1773 1.10.10.2210 
1774 1.10.10.2220 
1775 1.10.10.2230 
1776 1.10.10.2240 
1777 1.10.10.2250 
1778 1.10.10.2260 "MukE-like family, C-terminal domain "
1779 1.10.10.2270 "Dsl1p vesicle tethering complex, Tip20p subunit, domain E "
1780 1.10.10.2320 
1781 1.10.10.2330 
1782 1.10.10.2340 
1783 1.10.10.2360 
1784 1.10.10.2380 
1785 1.10.10.2390 
1786 1.10.10.2400 "Lepidopteran low molecular weight (30 kD) lipoprotein, N-terminal domain "
1787 1.10.10.2420 
1788 1.10.10.2430 "NFRKB winged helix-like domain "
1789 1.10.10.2450 
1790 1.10.10.2460 
1791 1.10.10.2470 
1792 1.10.10.2480 
1793 1.10.10.2490 
1794 1.10.10.2520 "Cell wall hydrolase SleB, domain 1 "
1795 1.10.10.2560 
1796 1.10.10.2570 
1797 1.10.10.2580 "Penicillin Acylase III; Chain A, Domain 2 "
1798 1.10.10.2590 "BEN domain "
1799 1.10.10.2660 "Ubiquitin-activating enzyme E1, SCCH domain "
1800 1.10.10.2670 "E3 ubiquitin-protein ligase "
1801 1.10.10.2690 
1802 1.10.10.2740 "Spt6, Death-like domain "
1803 1.10.10.2750 
1804 1.10.10.2770 
1805 1.10.10.2790 
1806 1.10.10.2830 
1807 1.10.10.2840 "PucR C-terminal helix-turn-helix domain "
1808 1.10.10.2850 "Phage late-transcription coactivator-like "
1809 1.10.10.2890 
1810 1.10.10.2910 
1811 1.10.10.2920 
1812 1.10.12.10 "Lyase 2-enoyl-coa Hydratase, Chain A, domain 2 "
1813 1.10.12.40 
1814 1.10.12.70 
1815 1.10.15.30 
1816 1.10.15.40 "Electron transport complex subunit B, putative Fe-S cluster "
1817 1.10.20.10 "Histone, subunit A "
1818 1.10.20.40 "Formin, diaphanous GTPase-binding domain "
1819 1.10.20.60 "Glu-tRNAGln amidotransferase C subunit, N-terminal domain "
1820 1.10.20.70 "Transcription termination and cleavage factor, C-terminal domain "
1821 1.10.20.110 
1822 1.10.20.120 
1823 1.10.20.130 
1824 1.10.20.140 
1825 1.10.20.150 
1826 1.10.30.10 "High mobility group box domain "
1827 1.10.30.20 "Bacterial XPD DNA helicase, FeS cluster domain "
1828 1.10.30.40 "Ethanolamine ammonia-lyase light chain (EutC), N-terminal domain "
1829 1.10.30.50 
1830 1.10.40.30 "Fumarase/aspartase (C-terminal domain) "
1831 1.10.40.40 "Deoxyribonucleotidase; domain 2 "
1832 1.10.40.50 "Probable gtpase engc; domain 3 "
1833 1.10.40.60 "EpsJ-like "
1834 1.10.40.70 
1835 1.10.40.80 
1836 1.10.40.90 
1837 1.10.40.100 
1838 1.10.40.110 
1839 1.10.45.10 "Vanillyl-alcohol Oxidase; Chain A, domain 4 "
1840 1.10.60.10 "Iron dependent repressor, metal binding and dimerisation domain "
1841 1.10.60.20 "Ribosomal protein S17e-like "
1842 1.10.60.30 "PSPTO4464-like domains "
1843 1.10.60.40 
1844 1.10.60.50 
1845 1.10.100.10 "Insulin-like "
1846 1.10.101.10 "PGBD-like superfamily/PGBD "
1847 1.10.110.10 "Plant lipid-transfer and hydrophobic proteins "
1848 1.10.110.30 
1849 1.10.132.10 
1850 1.10.132.20 "Ribosome-recycling factor "
1851 1.10.132.30 
1852 1.10.132.50 "ATP synthase (C/AC39) subunit, domain 3 "
1853 1.10.132.60 "DNA polymerase family B, C-terminal domain "
1854 1.10.132.70 
1855 1.10.132.80 
1856 1.10.132.90 
1857 1.10.132.100 
1858 1.10.132.110 "Serum amyloid A protein "
1859 1.10.132.120 
1860 1.10.132.130 
1861 1.10.135.10 "ATP guanido phosphotransferase, N-terminal domain "
1862 1.10.140.10 "MET Apo-Repressor, subunit A "
1863 1.10.150.20 "5' to 3' exonuclease, C-terminal subdomain "
1864 1.10.150.40 "Barrier-to-autointegration factor, BAF "
1865 1.10.150.50 "Transcription Factor, Ets-1 "
1866 1.10.150.60 "ARID DNA-binding domain "
1867 1.10.150.80 "HRDC domain "
1868 1.10.150.90 "Immunodeficiency lentiviruses, gag gene matrix protein p17 "
1869 1.10.150.110 "DNA polymerase beta, N-terminal domain-like "
1870 1.10.150.120 "[2Fe-2S]-binding domain "
1871 1.10.150.130 
1872 1.10.150.160 
1873 1.10.150.170 "Putative methyltransferase TM0872, insert domain "
1874 1.10.150.180 "Gamma-retroviral matrix domain "
1875 1.10.150.190 "Translation initiation factor 2; subunit 1; domain 2 "
1876 1.10.150.200 "Maltooligosyl trehalose synthase; domain 3 "
1877 1.10.150.210 "Phosphoserine phosphatase; domain 2 "
1878 1.10.150.220 "CPI-17 "
1879 1.10.150.240 "Putative phosphatase; domain 2 "
1880 1.10.150.250 "Flavinator of succinate dehydrogenase "
1881 1.10.150.260 "YozE SAM-like "
1882 1.10.150.280 "AF1531-like domain "
1883 1.10.150.290 "S-adenosyl-L-methionine-dependent methyltransferases "
1884 1.10.150.300 "TGS-like domain "
1885 1.10.150.310 "Tex RuvX-like domain-like "
1886 1.10.150.320 "Photosystem II 12 kDa extrinsic protein "
1887 1.10.150.330 "zn-dependent alcohol dehydrogenase "
1888 1.10.150.340 "Pyrimidine 5'-nucleotidase (UMPH-1), N-terminal domain "
1889 1.10.150.350 
1890 1.10.150.360 
1891 1.10.150.370 "Caenorhabditis elegans Her-1, C-terminal domain "
1892 1.10.150.380 "GatB domain, N-terminal subdomain "
1893 1.10.150.390 
1894 1.10.150.400 
1895 1.10.150.420 "Coronavirus nonstructural protein 4 C-terminus "
1896 1.10.150.430 "DUF3349, helical bundle "
1897 1.10.150.440 
1898 1.10.150.450 
1899 1.10.150.460 
1900 1.10.150.470 
1901 1.10.150.480 
1902 1.10.150.490 "Retroviral GAG p10 protein "
1903 1.10.150.510 "Receptor activity modifying family "
1904 1.10.150.520 
1905 1.10.150.530 
1906 1.10.150.540 
1907 1.10.150.550 "Arenavirus nucleocapsid protein, head domain "
1908 1.10.150.560 
1909 1.10.150.570 "GidA associated domain, C-terminal subdomain "
1910 1.10.150.590 "Dinitrogenase iron-molybdenum cofactor, N-terminal "
1911 1.10.150.610 
1912 1.10.150.620 "Capsid protein VP3, domain 1 "
1913 1.10.150.630 
1914 1.10.150.640 "AcsD, thumb domain, helical bundle "
1915 1.10.150.650 
1916 1.10.150.660 
1917 1.10.150.670 "Crossover junction endonuclease EME1, DNA-binding domain "
1918 1.10.150.690 "DUF2063 "
1919 1.10.150.700 "PolC, middle finger domain "
1920 1.10.150.710 "Glutamate cysteine ligase subdomain "
1921 1.10.150.720 "Haloacid dehalogenase-like hydrolase "
1922 1.10.150.730 
1923 1.10.150.740 
1924 1.10.150.750 
1925 1.10.150.770 
1926 1.10.150.780 "Vps16, C-terminal region "
1927 1.10.150.790 
1928 1.10.150.810 
1929 1.10.150.830 
1930 1.10.150.850 "Spt6, helix-hairpin-helix domain "
1931 1.10.150.870 
1932 1.10.150.880 
1933 1.10.150.900 
1934 1.10.150.910 
1935 1.10.150.920 
1936 1.10.155.10 "Chemotaxis receptor methyltransferase CheR, N-terminal domain "
1937 1.10.166.10 "Tetrahydrodipicolinate-N-succinyltransferase, N-terminal domain "
1938 1.10.167.10 "Regulator of G-protein Signalling 4, domain 2 "
1939 1.10.167.20 
1940 1.10.167.30 
1941 1.10.168.10 "Phosducin, domain 2 "
1942 1.10.168.20 "Ribosomal protein S8e, subdomain "
1943 1.10.170.10 "Bluetongue Virus 10, subunit 1, domain 3 "
1944 1.10.185.10 "Delta-retroviral matrix "
1945 1.10.189.10 "Pyruvate Phosphate Dikinase, domain 2 "
1946 1.10.195.10 "HIV-1 VPU cytoplasmic domain "
1947 1.10.196.10 
1948 1.10.196.20 
1949 1.10.196.30 
1950 1.10.210.10 "Secretoglobin "
1951 1.10.210.20 
1952 1.10.220.10 "Annexin "
1953 1.10.220.20 
1954 1.10.220.30 
1955 1.10.220.50 "Bacteriophage T4, Gp59, helicase assembly protein, C-terminal domain "
1956 1.10.220.60 "GRIP domain "
1957 1.10.220.70 "lyase "
1958 1.10.220.80 "BH2638-like "
1959 1.10.220.90 "Mistic "
1960 1.10.220.100 "conserved c-terminal region of ge- 1 "
1961 1.10.220.110 "GDNF binding domain "
1962 1.10.220.120 "Sigma-70 factor, region 1.1 "
1963 1.10.220.150 "Arf GTPase activating protein "
1964 1.10.220.160 
1965 1.10.225.10 "Saposin-like "
1966 1.10.225.40 "MukF, C-terminal domain "
1967 1.10.230.10 "Cytochrome P450-Terp, domain 2 "
1968 1.10.238.10 "EF-hand "
1969 1.10.238.20 "Pheromone/general odorant binding protein domain "
1970 1.10.238.70 
1971 1.10.238.80 "MTH865-like "
1972 1.10.238.90 "Restriction endonuclease BsobI, helical domain "
1973 1.10.238.100 "YAP1 redox domain. Chain B "
1974 1.10.238.110 "Diacylglycerol kinase alpha. "
1975 1.10.238.120 "Jann4075-like "
1976 1.10.238.150 "Formin, FH3 diaphanous domain "
1977 1.10.238.160 
1978 1.10.238.180 
1979 1.10.238.190 
1980 1.10.238.200 "Cullin, PONY binding domain "
1981 1.10.238.210 
1982 1.10.238.220 
1983 1.10.238.230 
1984 1.10.238.260 
1985 1.10.238.270 
1986 1.10.239.10 "Elicitin domain "
1987 1.10.240.10 "Tyrosyl-Transfer RNA Synthetase "
1988 1.10.245.10 "SWIB/MDM2 domain "
1989 1.10.246.10 
1990 1.10.246.20 "Coactivator CBP, KIX domain "
1991 1.10.246.30 
1992 1.10.246.40 "Tn5 transposase; domain 1 "
1993 1.10.246.60 "Eukaryotic translation initiation factor 3 like domains "
1994 1.10.246.70 
1995 1.10.246.80 
1996 1.10.246.90 "Nop domain "
1997 1.10.246.100 "Vanadium-binding protein 2 "
1998 1.10.246.110 "Mitochondrial ATP synthase-coupling factor 6 "
1999 1.10.246.120 
2000 1.10.246.130 
2001 1.10.246.140 
2002 1.10.246.150 
2003 1.10.246.170 
2004 1.10.246.180 
2005 1.10.246.190 "Autophagy protein Apg5, helix rich domain "
2006 1.10.246.200 "WPP domain "
2007 1.10.246.220 
2008 1.10.246.230 
2009 1.10.250.10 "Bluetongue Virus 10, subunit 1, domain 1 "
2010 1.10.260.30 "Signal recognition particle, SRP54 subunit, M-domain "
2011 1.10.260.40 "lambda repressor-like DNA-binding domains "
2012 1.10.260.50 
2013 1.10.260.60 
2014 1.10.260.70 "SATB, CULT domain "
2015 1.10.260.80 
2016 1.10.260.90 
2017 1.10.260.100 
2018 1.10.260.110 
2019 1.10.260.130 
2020 1.10.260.140 
2021 1.10.260.160 
2022 1.10.260.170 
2023 1.10.260.200 
2024 1.10.268.10 "Topoisomerase, domain 3 "
2025 1.10.268.20 
2026 1.10.269.10 "Adenovirus DNA-binding, N-terminal domain "
2027 1.10.274.10 "PtsI, HPr-binding domain "
2028 1.10.274.20 "Phenylalanine ammonia-lyase 1; domain 3 "
2029 1.10.274.30 "MRG domain "
2030 1.10.274.50 
2031 1.10.274.60 "Spidroin, repetitive domain "
2032 1.10.274.70 
2033 1.10.274.80 
2034 1.10.274.100 "RNA polymerase Rpb1, domain 3 "
2035 1.10.274.110 
2036 1.10.275.10 "Fumarase/aspartase (N-terminal domain) "
2037 1.10.275.20 "Choline/Carnitine o-acyltransferase "
2038 1.10.275.30 
2039 1.10.275.40 
2040 1.10.275.60 
2041 1.10.285.10 "Glutamate Dehydrogenase, chain A, domain 3 "
2042 1.10.285.20 "Uncharacterised protein PF01937, DUF89, domain 2 "
2043 1.10.286.10 
2044 1.10.286.20 
2045 1.10.286.30 "Baseplate structural protein GP11, N-terminal domain "
2046 1.10.286.40 "Chlorophyll a-b binding protein like "
2047 1.10.286.50 
2048 1.10.286.70 "Get5 dimerization domain "
2049 1.10.286.90 "MFS transporter, transmembrane helix TM10b "
2050 1.10.287.10 "S15/NS1, RNA-binding "
2051 1.10.287.20 "Ubiquinol-cytochrome C reductase hinge domain "
2052 1.10.287.30 "E2 (early) protein, N terminal domain, subdomain 1 "
2053 1.10.287.40 "Serine-tRNA synthetase, tRNA binding domain "
2054 1.10.287.70 
2055 1.10.287.80 "ATP synthase, gamma subunit, helix hairpin domain "
2056 1.10.287.90 
2057 1.10.287.100 
2058 1.10.287.110 "DnaJ domain "
2059 1.10.287.120 "Neurotoxin B-IV-like "
2060 1.10.287.130 
2061 1.10.287.140 
2062 1.10.287.150 
2063 1.10.287.160 "HR1 repeat "
2064 1.10.287.170 
2065 1.10.287.180 "Transcription elongation factor, GreA/GreB, N-terminal domain "
2066 1.10.287.190 "Transcription factor IIA gamma subunit, alpha-helical domain "
2067 1.10.287.210 
2068 1.10.287.230 
2069 1.10.287.260 
2070 1.10.287.280 
2071 1.10.287.310 
2072 1.10.287.320 "Viral phosphoprotein oligmorisation site domain "
2073 1.10.287.340 
2074 1.10.287.370 
2075 1.10.287.380 "Valyl-tRNA synthetase, C-terminal domain "
2076 1.10.287.390 
2077 1.10.287.400 
2078 1.10.287.410 
2079 1.10.287.440 
2080 1.10.287.450 "Helix hairpin bin "
2081 1.10.287.460 "Peptidyl-prolyl cis-trans isomerase, FKBP-type, N-terminal domain "
2082 1.10.287.470 "Helix hairpin bin "
2083 1.10.287.480 "helix hairpin bin "
2084 1.10.287.490 "Helix hairpin bin "
2085 1.10.287.500 "Helix hairpin bin "
2086 1.10.287.510 "Helix hairpin bin "
2087 1.10.287.520 "Helix hairpin bin "
2088 1.10.287.540 "Helix hairpin bin "
2089 1.10.287.550 "Helix hairpin bin "
2090 1.10.287.560 "Histidine kinase CheA-like, homodimeric domain "
2091 1.10.287.570 "Helical hairpin bin "
2092 1.10.287.580 "Helix hairpin bin "
2093 1.10.287.600 "Helix hairpin bin "
2094 1.10.287.610 "Helix hairpin bin "
2095 1.10.287.620 "Helix Hairpins "
2096 1.10.287.630 "Helix hairpin bin "
2097 1.10.287.650 "L27 domain "
2098 1.10.287.660 "Helix hairpin bin "
2099 1.10.287.670 "Phycobilisome degradation protein NblA "
2100 1.10.287.680 "Helix hairpin bin "
2101 1.10.287.690 "Helix hairpin bin "
2102 1.10.287.700 "Helix hairpin bin "
2103 1.10.287.710 "Helix hairpin bin "
2104 1.10.287.720 "Pollen allergen ole e 6 "
2105 1.10.287.730 "Helix hairpin bin "
2106 1.10.287.740 "Photosystem II PsbZ, reaction centre "
2107 1.10.287.750 "SO2669-like "
2108 1.10.287.760 "YqgQ-like "
2109 1.10.287.770 "YojJ-like "
2110 1.10.287.780 "ITPase-like domains "
2111 1.10.287.790 "luxt domain from vibrio parahaemolyticus "
2112 1.10.287.800 "protein ne1242 "
2113 1.10.287.810 "Mitochondrial import inner membrane translocase subunit tim13 like domains "
2114 1.10.287.820 "Acid-sensing ion channel domain "
2115 1.10.287.830 "putative peptidase helix hairpin domain like "
2116 1.10.287.840 "Mycolic acid cyclopropane synthase domain like "
2117 1.10.287.850 "HP0062-like domain "
2118 1.10.287.860 "Nucleotidyltransferase "
2119 1.10.287.870 "Acyl-CoA N-acyltransferases (Nat) "
2120 1.10.287.880 "Hypothetical protein YfhH domain "
2121 1.10.287.890 "Crystal structure of tRNA isopentenylpyrophosphate transferase (bh2366) domain "
2122 1.10.287.900 "The crystal structure of the spermine/spermidine acetyltransferase from enterococcus faecali "
2123 1.10.287.910 "bacterial mercury transporter, merf "
2124 1.10.287.920 "Pheromone alpha factor receptor. "
2125 1.10.287.930 "Mammalian shaker kv1.2 potassium channel- beta subunit complex "
2126 1.10.287.940 "atp-gated p2x4 ion channel "
2127 1.10.287.950 "Methyl-accepting chemotaxis protein "
2128 1.10.287.970 "His Kinase A (phosphoacceptor) domain "
2129 1.10.287.980 "plastocyanin oxidoreductase "
2130 1.10.287.990 "Fe,Mn superoxide dismutase (SOD) domain "
2131 1.10.287.1010 "Clavaminate synthase-like "
2132 1.10.287.1020 "NE0241-like "
2133 1.10.287.1030 "Nudix-associated domain "
2134 1.10.287.1040 "Exonuclease VII, small subunit "
2135 1.10.287.1050 "H-NS histone-like proteins "
